sysid,sysname,year,assigned_month,yr_mo_d,sum_min,num_trip,sysname_alt
1,"Blue Bikes (Boston, MA)","2,019",2,2/12/2019 0:00,"24,384.37","2,163","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/13/2019 0:00,"30,655.10","2,630","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/14/2019 0:00,"42,188.65","3,622","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/15/2019 0:00,"39,754.38","3,378","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/16/2019 0:00,"36,659.97","2,326","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/17/2019 0:00,"33,193.48","2,077","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/18/2019 0:00,"10,457.03",955,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/19/2019 0:00,"30,721.42","2,789","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/20/2019 0:00,"33,505.82","3,154","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/21/2019 0:00,"34,602.02","2,895","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/22/2019 0:00,"45,859.08","3,725","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/23/2019 0:00,"36,173.75","2,418","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/24/2019 0:00,"12,637.68","1,077","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/25/2019 0:00,"30,625.47","2,889","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/26/2019 0:00,"31,726.82","3,045","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/27/2019 0:00,"31,115.30","2,976","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,2/28/2019 0:00,"25,527.02","2,329","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,3/1/2019 0:00,"38,483.80","3,187","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",2,3/2/2019 0:00,"9,509.63",835,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/3/2019 0:00,"23,910.02","1,843","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/4/2019 0:00,"14,307.30","1,258","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/5/2019 0:00,"31,740.13","2,718","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/6/2019 0:00,"29,042.85","2,615","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/7/2019 0:00,"31,174.87","2,756","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/8/2019 0:00,"34,124.10","2,856","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/9/2019 0:00,"29,551.32","2,085","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/10/2019 0:00,"7,126.67",672,"Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/11/2019 0:00,"46,603.33","3,723","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/12/2019 0:00,"45,593.55","3,853","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/13/2019 0:00,"45,839.13","3,874","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/14/2019 0:00,"58,195.07","4,479","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/15/2019 0:00,"67,659.83","4,541","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/16/2019 0:00,"48,583.70","2,676","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/17/2019 0:00,"39,706.17","2,306","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/18/2019 0:00,"46,953.82","3,762","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/19/2019 0:00,"50,788.15","4,112","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/20/2019 0:00,"58,918.70","4,508","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/21/2019 0:00,"55,437.75","4,425","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/22/2019 0:00,"23,784.75","2,005","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/23/2019 0:00,"36,652.08","2,258","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/24/2019 0:00,"86,040.73","3,550","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/25/2019 0:00,"60,930.95","4,551","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/26/2019 0:00,"54,239.50","4,384","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/27/2019 0:00,"56,148.83","4,413","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/28/2019 0:00,"65,291.82","4,833","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/29/2019 0:00,"57,297.32","4,157","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",3,3/30/2019 0:00,"145,472.80","5,780","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,3/31/2019 0:00,"48,953.57","2,617","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/1/2019 0:00,"62,105.58","4,658","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/2/2019 0:00,"72,208.58","5,466","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/3/2019 0:00,"66,283.23","4,896","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/4/2019 0:00,"69,495.02","5,340","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/5/2019 0:00,"63,208.58","4,855","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/6/2019 0:00,"157,602.62","6,087","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/7/2019 0:00,"135,313.77","5,630","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/8/2019 0:00,"33,231.35","2,769","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/9/2019 0:00,"53,535.62","4,428","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/10/2019 0:00,"63,288.63","5,087","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/11/2019 0:00,"85,744.85","6,129","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/12/2019 0:00,"78,355.92","5,711","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/13/2019 0:00,"175,159.62","6,924","Boston Metro, MA (Blue Bikes)"
1,"Blue Bikes (Boston, MA)","2,019",4,4/14/2019 0:00,"148,715.97","6,422","Boston Metro, MA (Blue Bikes)"
